id,date,medtype,medium,headline
12587,2015-05-07T09:03:46Z,Internet,4 NOS.nl,Inflatie stijgt door duurdere smartphone
12595,2015-05-07T17:29:35Z,Internet,4 NOS.nl,Meer banen weg bij SBM Offshore
12621,2015-05-08T14:31:00Z,Internet,4 NOS.nl,DUO negeert nieuwe richtlijn en stuurt payrollers weg
12623,2015-05-08T16:13:03Z,Internet,4 NOS.nl,Hypotheekrente langzaam omhoog
12681,2015-05-11T16:13:45Z,Internet,4 NOS.nl,'EU-ministers nog niet tevreden over Griekenland'
12701,2015-05-12T08:12:43Z,Internet,4 NOS.nl,DNB waarschuwt banken voor te lage buffers
12725,2015-05-13T06:00:53Z,Internet,4 NOS.nl,Heijmans ziet verder herstel huizenmarkt
12727,2015-05-13T07:36:05Z,Internet,4 NOS.nl,"Economie groeit met 0,4 procent"
12731,2015-05-13T09:01:50Z,Internet,4 NOS.nl,"Minder Duitse, meer Franse economische groei"
12733,2015-05-13T09:19:35Z,Internet,4 NOS.nl,Kamp: herstelperiode is achter de rug
12755,2015-05-14T12:32:03Z,Internet,4 NOS.nl,Frankrijk worstelt met ingrijpende bezuinigingseisen EU
12787,2015-05-15T15:31:31Z,Internet,4 NOS.nl,"Het is weer vrede in Burundi, zegt de president"
12797,2015-05-16T08:07:41Z,Internet,4 NOS.nl,Schandalig dat patiënten niet de beste behandeling krijgen'
12815,2015-05-18T06:58:13Z,Internet,4 NOS.nl,Bouwer BAM positief ondanks verlies
12823,2015-05-18T14:32:15Z,Internet,4 NOS.nl,Bouw wil blijvend laag btw-tarief
12859,2015-05-19T14:59:06Z,Internet,4 NOS.nl,'Sfeer onder medewerkers van Belastingdienst wordt grimmig'
12861,2015-05-19T16:01:55Z,Internet,4 NOS.nl,Rekenkamer kraakt bezuinigingen AIVD
12865,2015-05-19T16:40:05Z,Internet,4 NOS.nl,"Tien jaar Belastingdienst, tien jaar 'toeslagenmalaise'"
12869,2015-05-19T17:02:56Z,Internet,4 NOS.nl,Loonverlaging onbespreekbaar voor meeste V&D'ers
12923,2015-05-21T11:53:12Z,Internet,4 NOS.nl,Honderdduizenden kinderen gaan leren programmeren op school
12929,2015-05-21T13:40:44Z,Internet,4 NOS.nl,Kamer: Wiebes heeft de Belastingdienst 'overvallen'
12931,2015-05-21T14:52:32Z,Internet,4 NOS.nl,Minder omzet voor Blokker en Xenos in 2014
12933,2015-05-21T15:08:35Z,Internet,4 NOS.nl,India bevriest bankrekeningen van Greenpeace
