i,perc,n,acc,cor,alpha
11,0.19473684210526315,1156,0.397887323943662,0.3317823059911129,0.014529137793933833
11,0.24210526315789474,1470,0.5176056338028169,0.44745780575492977,0.4210038251999536
11,0.2894736842105263,1762,0.5492957746478874,0.44548590450094305,0.44065867354682065
11,0.33684210526315794,1984,0.5387323943661971,0.41081461489591864,0.4109437612270277
11,0.38421052631578945,2355,0.5563380281690141,0.4613160911166412,0.39745589316020147
11,0.43157894736842106,2698,0.5774647887323944,0.410590199109607,0.31533989266547413
11,0.4789473684210527,2910,0.6126760563380281,0.5249046770687169,0.5055033198164074
11,0.5263157894736842,3181,0.5985915492957746,0.5472969520394991,0.5100336053768604
11,0.5736842105263158,3511,0.6373239436619719,0.5599998671790346,0.549185341031412
11,0.6210526315789474,3834,0.647887323943662,0.6024123490872536,0.5718252904923145
11,0.6684210526315789,4074,0.5985915492957746,0.5512809067015907,0.4468881360742094
11,0.7157894736842105,4283,0.6514084507042254,0.5630586058367885,0.5556916397239362
11,0.7631578947368421,4580,0.6302816901408451,0.577749369586358,0.57419298500946
11,0.8105263157894737,4890,0.6408450704225352,0.5594609960981269,0.5477961375545721
11,0.8578947368421053,5213,0.676056338028169,0.6105873870533078,0.6044564815954696
11,0.9052631578947369,5483,0.6302816901408451,0.5840768075934669,0.5507560730280571
11,0.9526315789473684,5743,0.6408450704225352,0.5940623361713165,0.585849240358395
11,1.0,6038,0.6161971830985915,0.5517453875240877,0.49179977562904
12,0.1,625,0.5070422535211268,0.385225419354015,0.3203050901043313
12,0.1473684210526316,908,0.45422535211267606,0.30053524734516923,0.26093620190792677
12,0.19473684210526315,1169,0.5422535211267606,0.4163784450399064,0.37789288357020745
12,0.24210526315789474,1460,0.602112676056338,0.5106804149188978,0.478187556746941
12,0.2894736842105263,1807,0.5387323943661971,0.4538731291662491,0.42536928939039653
12,0.33684210526315794,2002,0.5704225352112676,0.4806466795138765,0.47998907253107503
12,0.38421052631578945,2320,0.545774647887324,0.48421419298858154,0.42985970344596436
12,0.43157894736842106,2568,0.5633802816901409,0.4487580696074486,0.4312240260404938
12,0.4789473684210527,2878,0.6056338028169014,0.5407594431769818,0.5123430962343096
12,0.5263157894736842,3170,0.6091549295774648,0.5305671398312669,0.5104866930656599
12,0.5736842105263158,3427,0.6338028169014085,0.5514078226816387,0.5472062649733378
12,0.6210526315789474,3715,0.6302816901408451,0.5687245520470035,0.5550234636513605
12,0.6684210526315789,4075,0.6232394366197183,0.57457335078172,0.5647723261560185
12,0.7157894736842105,4356,0.6126760563380281,0.5189231667888726,0.4601402233186185
12,0.7631578947368421,4630,0.6056338028169014,0.4838273980775202,0.45395955255944886
12,0.8105263157894737,4920,0.647887323943662,0.586502755694264,0.5740362466860793
12,0.8578947368421053,5185,0.6232394366197183,0.5639142355113749,0.5595783613018251
12,0.9052631578947369,5486,0.602112676056338,0.5134005140953717,0.45638855111776255
12,0.9526315789473684,5757,0.6654929577464789,0.634893011848893,0.6331652686061038
12,1.0,6038,0.6654929577464789,0.5695995122623236,0.551650206176266
13,0.1,567,0.4507042253521127,0.3731106191377621,0.22827566375922548
13,0.1473684210526316,892,0.44014084507042256,0.3894201925527544,0.16201425696971128
13,0.19473684210526315,1258,0.5,0.34851876721062397,0.34135214480326104
13,0.24210526315789474,1492,0.5915492957746479,0.48909208053443304,0.48425132345380484
13,0.2894736842105263,1723,0.5704225352112676,0.5281535472540979,0.523496500276294
13,0.33684210526315794,2007,0.5985915492957746,0.5176367413862182,0.49243978930061205
13,0.38421052631578945,2367,0.6197183098591549,0.5546766363336593,0.552205449911782
13,0.43157894736842106,2596,0.5845070422535211,0.4978349102710647,0.45830489968609256
13,0.4789473684210527,2966,0.5492957746478874,0.4926553277419613,0.4094309251017896
13,0.5263157894736842,3180,0.6197183098591549,0.5147174842041972,0.5002031770641227
13,0.5736842105263158,3403,0.5528169014084507,0.45166504797110185,0.3831585274229903
13,0.6210526315789474,3753,0.6443661971830986,0.5249472162587575,0.5232264812649973
