i,n,acc,cor,alpha
31,4040,0.6549295774647887,0.5796226821784786,0.5727513307251322
31,4545,0.5950704225352113,0.5825603338834814,0.5534191994069682
31,5050,0.6514084507042254,0.6108010815020347,0.6101008557457213
31,5555,0.6197183098591549,0.5464488374891676,0.5193241635834314
31,6038,0.6514084507042254,0.5876968557575892,0.5778870665734203
32,505,0.426056338028169,0.32901263438016093,0.12414190943178527
32,1010,0.46830985915492956,0.25978074469836454,0.20476858345021032
32,1515,0.35563380281690143,0.009976229991815366,-0.39829946996466425
32,2020,0.5528169014084507,0.44375775804896866,0.3849763650065081
32,2525,0.5704225352112676,0.5230951263814687,0.4904231278734513
32,3030,0.6126760563380281,0.536465525727369,0.5356865787432117
32,3535,0.5880281690140845,0.526211775441491,0.49095303867403306
32,4040,0.6267605633802817,0.525600025442917,0.5261897284954679
32,4545,0.6161971830985915,0.549384188410585,0.5411469233989117
32,5050,0.6443661971830986,0.5961798715990212,0.581176770249618
32,5555,0.6197183098591549,0.5336911519877356,0.5033729274551686
32,6038,0.6161971830985915,0.5620250279960465,0.5409562815506239
33,505,0.4225352112676056,0.2771198052741345,0.03966679888932956
33,1010,0.47183098591549294,0.35888088045260524,0.29957611723386224
33,1515,0.5,0.43350347446951415,0.3950617283950617
33,2020,0.5352112676056338,0.4681142327339781,0.4206826088014207
33,2525,0.5985915492957746,0.5110833075475938,0.5036645440346028
33,3030,0.5880281690140845,0.48030315615785574,0.47798822255548534
33,3535,0.5528169014084507,0.43665501908808213,0.402498265093685
33,4040,0.6197183098591549,0.5162233638490432,0.4972314725413308
33,4545,0.6302816901408451,0.543049845670074,0.49315455187014823
33,5050,0.6408450704225352,0.561424509836558,0.5491910951327434
33,5555,0.6584507042253521,0.6214133472219233,0.6107583298600043
33,6038,0.6161971830985915,0.48644815421389287,0.46486364858023255
34,505,0.5,0.41610846542676455,0.34407218676463136
34,1010,0.5492957746478874,0.4030582516769496,0.3893135786902041
34,1515,0.5176056338028169,0.45336773200033903,0.38927253342081525
34,2020,0.47183098591549294,0.4264412382501502,0.1829971181556196
34,2525,0.602112676056338,0.5468818133458044,0.5031281198003328
34,3030,0.6126760563380281,0.5905967665070828,0.5817572796749539
34,3535,0.6373239436619719,0.5814292109771639,0.5391303372928007
34,4040,0.6443661971830986,0.5980667444892028,0.5740314017133946
34,4545,0.6408450704225352,0.6331422407795299,0.6251049863294396
34,5050,0.6443661971830986,0.5976829677045696,0.5869042152631097
34,5555,0.6690140845070423,0.5964218627095247,0.5788922742238258
34,6038,0.6443661971830986,0.6003122503949714,0.586962203402083
35,505,0.426056338028169,0.23901818430328228,0.10662449683726283
35,1010,0.4859154929577465,0.38227881571707645,0.3468627185255455
35,1515,0.4964788732394366,0.46610020047435347,0.4301383705200711
35,2020,0.573943661971831,0.49748584517205624,0.4882753464526982
35,2525,0.5704225352112676,0.47204853859569795,0.4713398741285414
35,3030,0.5845070422535211,0.48833572980028567,0.45842156140673906
35,3535,0.5950704225352113,0.548059646390978,0.5339062666809011
35,4040,0.6126760563380281,0.5496487593677688,0.5351387358766109
35,4545,0.647887323943662,0.5746411238009839,0.5621478758347653
35,5050,0.6443661971830986,0.6110639194447448,0.6072012807451608
35,5555,0.676056338028169,0.5738413940923589,0.5701098536207421
35,6038,0.6302816901408451,0.5660904286179702,0.5475833422933489
36,505,0.35563380281690143,0.009976229991815366,-0.39829946996466425
36,1010,0.5176056338028169,0.456157981536955,0.3810969697305504
36,1515,0.5598591549295775,0.4739123102225527,0.46562500000000007
36,2020,0.5633802816901409,0.46646323595140515,0.44847145022738755
36,2525,0.5880281690140845,0.5074677589583407,0.46952182782120566
36,3030,0.647887323943662,0.5858548563280144,0.5756537299323058
36,3535,0.4788732394366197,0.40732894234054107,0.2657806469544125
36,4040,0.6443661971830986,0.5853091199327418,0.5838008133348336
36,4545,0.6408450704225352,0.5570504166381232,0.5447408332589883
36,5050,0.6232394366197183,0.5914776648452527,0.5682950219406585
36,5555,0.6443661971830986,0.5825130059755067,0.5735328627904038
36,6038,0.6549295774647887,0.6081608783628757,0.5987554904831626
37,505,0.4964788732394366,0.34062936676584676,0.3359230802249218
37,1010,0.3732394366197183,0.2933810597458674,-0.04176123467998183
37,1515,0.4859154929577465,0.44190188937202723,0.3227040816326531
37,2020,0.5140845070422535,0.4314323590977835,0.3986947654656696
